INT	STRING	STRING	FLOAT	STRING
#序号	配置键	配置名	数值	说明
#Id	Key	Name	Value	Desc
1	GRAVITY	重力	0.45	下落加速度
2	PLAYER_SPEED	玩家速度	6	左右移动速度
3	JUMP_FORCE	跳跃力	-15	普通跳跃力度（负数向上）
4	BOOST_JUMP_FORCE	弹跳力	-22	弹跳平台力度
5	DOUBLE_JUMP_FORCE	二段跳力	-18	二段跳力度
6	CAMERA_SMOOTHING	相机平滑	0.25	相机跟随平滑度
7	PLAYER_SAFE_ZONE	安全区	50	玩家安全区域
8	SLIDE_FALL_FORCE	下滑力	20	快速下落力度
9	STAR_COUNT	星星数量	150	背景星星数
10	INITIAL_PLATFORM_COUNT	初始平台数	12	开局平台数量
11	PRAISE_INTERVAL	夸奖间隔	800	夸奖显示间隔(ms)
12	COMBO_PRAISE_THRESHOLD	连跳阈值	5	连跳夸夸触发阈值
13	CHARGE_MAX	蓄力最大值	6	蓄力条最大值
14	UI_SAFE_TOP	顶部安全区	60	避开刘海屏距离
15	DIFFICULTY_SCORE_RAMP_START	难度增长起点	0	分数达到该值后开始增加难度
16	DIFFICULTY_SCORE_RAMP_END	难度增长终点	2000	分数达到该值后难度达到满值
17	DIFFICULTY_STAGE_HEIGHT	难度阶段高度	200	每多少分切换一个难度阶段标签
18	DIFFICULTY_PLATFORM_GAP_MIN_BASE	平台最小间距基础值	80	平台最小纵向间距的基础值
19	DIFFICULTY_PLATFORM_GAP_MIN_MAX_MULTIPLIER	平台最小间距最大倍率	1.5	平台最小纵向间距满难度倍率
20	DIFFICULTY_PLATFORM_GAP_MAX_BASE	平台最大间距基础值	140	平台最大纵向间距的基础值
21	DIFFICULTY_PLATFORM_GAP_MAX_MAX_MULTIPLIER	平台最大间距最大倍率	2.5	平台最大纵向间距满难度倍率
22	DIFFICULTY_PLAYER_SPEED_MULTIPLIER_BASE	玩家移速倍率基础值	1	玩家移速难度倍率基础值
23	DIFFICULTY_PLAYER_SPEED_MULTIPLIER_MAX	玩家移速倍率上限	1.2	玩家移速难度倍率满值
24	DIFFICULTY_MAX_FALL_SPEED_MULTIPLIER_BASE	最大下落倍率基础值	1	最大下落速度难度倍率基础值
25	DIFFICULTY_MAX_FALL_SPEED_MULTIPLIER_MAX	最大下落倍率上限	3.6	最大下落速度难度倍率满值
26	DIFFICULTY_MOVING_PLATFORM_SPEED_MULTIPLIER_BASE	移动平台倍率基础值	1	移动平台速度难度倍率基础值
27	DIFFICULTY_MOVING_PLATFORM_SPEED_MULTIPLIER_MAX	移动平台倍率上限	3.8	移动平台速度难度倍率满值
28	BOSS_MONSTER_ID	Boss怪物ID	2	触发Boss事件时生成的怪物ID
29	BOSS_WARNING_LEAD_HEIGHT	Boss预警提前量	100	距离Boss出现高度多少分时开始预警
30	BOSS_SPAWN_HEIGHT_1	Boss首次出现高度	100	Boss第一次出现的高度
31	BOSS_SPAWN_HEIGHT_2	Boss第二次出现高度	3000	Boss第二次出现的高度
32	BOSS_SPAWN_HEIGHT_3	Boss第三次出现高度	5000	Boss第三次出现的高度
33	BOSS_SPAWN_REPEAT_INTERVAL	Boss循环出现间隔	2000	第三次之后每隔多少分再次出现Boss
34	CHARGE_DASH_DISTANCE_PER_SEGMENT	蓄力每段距离加成	50	每段蓄力为蓄力冲刺额外增加的高度距离
35	CHARGE_DASH_HEIGHT_RATIO_MAX	蓄力冲刺高度系数上限	0.5	高度系数最大值，避免蓄力冲刺增长过高
